model_type,method,init,lr,momentum,test_mse,test_r2
lasso,batch,zeros,0.0001,0.9,160.10907402147416,-285.9866400937084
lasso,batch,xavier,0.01,0.9,10.275354808955202,-17.418003916488026
lasso,batch,xavier,0.001,0.9,124.47028263280103,-222.10608204198857
lasso,batch,xavier,0.0001,0.9,174.45666776499382,-311.7039065699979
lasso,mini,zeros,0.01,0.9,2.1016881960410645,-2.767159591626491
lasso,mini,zeros,0.001,0.9,3.1088719839596832,-4.57248070173953
lasso,mini,zeros,0.0001,0.9,20.65910358073291,-36.03029800289298
lasso,mini,xavier,0.01,0.9,2.1417743735707298,-2.8390118428105535
lasso,mini,xavier,0.001,0.9,3.2279203573919855,-4.785868312084308
lasso,mini,xavier,0.0001,0.9,19.71460879589836,-34.33734345586122
lasso,sto,zeros,0.01,0.9,0.5696874717943028,-0.02113321454721695
lasso,sto,zeros,0.001,0.9,1.6719141155780095,-1.996813375428197
lasso,sto,zeros,0.0001,0.9,2.364187066025634,-3.2376742653617407
lasso,sto,xavier,0.01,0.9,0.573770370945732,-0.028451584954836573
lasso,sto,xavier,0.001,0.9,1.6468606394269019,-1.9519064081796702
lasso,sto,xavier,0.0001,0.9,2.4451353022349847,-3.3827694916830016
ridge,batch,zeros,0.01,0.0,2.6867441677554895,-3.815839990381173
ridge,batch,zeros,0.001,0.0,8.320726914463272,-13.914441763611904
ridge,batch,zeros,0.0001,0.0,117.74598709848418,-210.0531550346667
ridge,batch,xavier,0.01,0.0,2.8132044201372772,-4.042512982891167
ridge,batch,xavier,0.001,0.0,7.333283975730152,-12.144505031398538
ridge,batch,xavier,0.0001,0.0,116.04248086946023,-206.99971454708563
ridge,mini,zeros,0.01,0.0,1.5417977325496957,-1.763586971399194
ridge,mini,zeros,0.001,0.0,1.839675419072851,-2.297516212678184
ridge,mini,zeros,0.0001,0.0,2.967304370921573,-4.318728602677085
ridge,mini,xavier,0.01,0.0,1.5413156334113411,-1.762722835417183
ridge,mini,xavier,0.001,0.0,1.8607407440047554,-2.3352746399355837
ridge,mini,xavier,0.0001,0.0,2.8880171109964627,-4.17661058427488
ridge,sto,zeros,0.01,0.0,2.180332276503572,-2.908124746494398
ridge,sto,zeros,0.001,0.0,1.5283564055068115,-1.7394941377480504
ridge,sto,zeros,0.0001,0.0,1.5603721647006537,-1.7968806114207272
ridge,sto,xavier,0.01,0.0,1.4676699542813854,-1.6307170378688776
ridge,sto,xavier,0.001,0.0,1.533524872296971,-1.7487583279734267
ridge,sto,xavier,0.0001,0.0,1.6068473947156876,-1.8801848850299043
ridge,batch,zeros,0.01,0.9,9.992049203043173,-16.910194321951863
ridge,batch,zeros,0.001,0.9,111.93031397489898,-199.62888333225746
ridge,batch,zeros,0.0001,0.9,160.09204372976436,-285.95611423983354
ridge,batch,xavier,0.01,0.9,10.083396471142558,-17.073929236501836
ridge,batch,xavier,0.001,0.9,103.56077744378739,-184.6269530363948
ridge,batch,xavier,0.0001,0.9,148.30617631514417,-264.830600207705
ridge,mini,zeros,0.01,0.9,1.8524240710781388,-2.320367464720468
ridge,mini,zeros,0.001,0.9,2.9690259590794157,-4.321814454019765
